产品ID,产品型号 ,屏幕尺寸(对角),屏幕宽高比,面板类型,点距（H×V）mm,画面尺寸（H×V）mm,亮度(典型值),动态对比度(典型值),对比度(典型值),响应时间(典型值),可视角度(水平/垂直),分辨率,扫描频率,显示颜色,HDCP功能,接口,喇叭,额定电源,消耗功率,认证,外壳颜色,壁挂,支架,显示器(含支架/底座)（W×H×D）mm,显示器(不含支架/底座)（W×H×D）mm,包装箱（W×H×D）mm,净重(含支架/底座),净重(不含支架/底座),毛重(含包装),包装清单,图片列表,Size 尺寸,Chipset 方案,拼接缝隙,光源,亮度,对比度,反应时间,像素点距,可视角度,寿命,色饱和度 ,可视面积,色彩度 ,电压,最大功率,待机功率 ,工作温度,储藏温度,储藏湿度,工作湿度,显示模式,最长使用时间(小时/天),HDMI 输入接口 ,DVI 输入接口,VGA 输入接口,PC_AUDIO 输入接口,Y PB PR 输入接口,S-VIDEO 输入接口,VIDEO 输入接口,AUDIO 输入接口,USB 输入接口,VIDEO 输出接口,AUDIO 输出接口,RS232,净重,毛重,裸机外形尺寸 (W x D x H),包装尺寸 (W x D x H),外壳材料,面框宽度 (T/B/L/R) ,孔位,OSD,遥控器,电源线 ,RS232 信号连接线,合格证,说明书,保修卡,功能,尺寸,系统版本,处理器,RAM 内部缓存容量,解码分辨率,面板,触摸式屏幕,钢化玻璃,玻璃透光率,插值分辨率,可触精密度,输出,可触直径,多点触控操作系统,单点触控操作系统,视频格式,图片格式,菜单语言,面板型号,最大分辨率,屏亮度,色彩度,可视角,色饱和度,储存温度,储存湿度,待机功率,内部喇叭,HDMI-IN,HDMI  OPS(option),DVI IN,VGA-IN,PC-AUDID IN,YPBPR,LAN,AV-IN,AV-OUT,COAXIAL,EARPHONE,SPDIF,TV,MEDIA-USB,PC-USB,TOUCH-USB,RS232-IN,RS232 OUT,外壳材料（面框/后壳）,外壳颜色（面框/后壳）,裸机外形尺寸(W*D*H),包装尺寸(W*D*H),面框宽度(T/B/L/R),VESA 孔位,电源线,触摸笔,连接线,挂墙件,书写软件 ,AG 防眩光玻璃,Miracast 无线传屏（选配）,可移动支架（选配）,发射器（选配）
18,E2290VW,"21.5""W",16:9,TN,0.24825(H)X0.24825(V)mm,476.64(H)X268.11(V)mm,250cd/m²,20000000:1,1000:1,5ms,170°/160°(CR≥10),1920x1080,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,DVI-D                ",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:22W（典型值）;
待机:<0.5W",CCC，CH RoHS，CEL，CECP，Win10,黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",508.4(W)x400.1(H)x200(D) mm,508.4(W)x304.3(H)x45(D) mm,558(W)x360(H)x130(D) mm,3.1kg,2.55kg,4kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
DVI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,I2290VWHD,"21.5""W",16:9,IPS技术,0.24795X0.24795,476.064X267.786,250cd/m²,,1000:1,5ms GtG,178°/178°,1920x1080,,16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:21W（典型值）;
待机:<0.5W",CCC，CH RoHS，CEL，CECP，Win10,黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架",489.4(W)x388.2(H)x200(D) mm,489.4x292.5x44,558x360x130,3.2kg,2.69kg,4.1kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Q2490VXQ,"23.8""W",16:9,IPS技术,0.2058(H)mmx0.2058(V)mm,526.85(H)mmx296.35(V)mm ,250cd/m²,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 83kHz (D-SUB)
30k - 99kHz (HDMI,DP)
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,HDMIx2,DP,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:28W（典型值）;
待机:<0.5W",CCC，CH RoHS，CEL，CECP，Win10,黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",539(W)x408(H)x200(D)mm,539(W)x321(H)x43(D)mm,606(W)x400(H)x157(D)mm,3.9kg,3.25kg,5.25kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,I2490PXZ,"23.8""W",16:9,IPS技术,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250cd/m²,50000000:1,1000:1,5ms GtG,178°/178°(CR≥10),1920x1080,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,DVI-D,HDMI,DP, 音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:20W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP，Win10, EPA,CE, FCC",黑色/银色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-45°",540.2(W)x(366~496)(H)x200(D)mm,540.2(W)×312.2(H)×45(D)mm,617(W)x411(H)x206(D)mm,4.75kg,3.04kg,6.68kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,I2790VH,"27""W",16:9,IPS技术,0.3114(H)mmx0.3114(V)mm,597.888(H) x 336.312(V)mm ,250cd/m²,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),1920x1080,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:20W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL，CECP，Win10, EPA, CE, FCC,cTUVus",黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",612.6(W)x453.2(H)x199.7(D)mm,612.6(W)x362.1(H)x45.3(D),703(W)x467(H)x185(D)mm,4.5kg,3.8kg,6.36kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Q2790VQ,"27""W",16:9,IPS技术,0.2331(H)x0.2331(V)mm,596.736(H)x335.664(V)mm,350cd/m²,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),2560x1440,"水平: 
30k - 83kHz (D-SUB)
30k - 99kHz (HDMI,DP)
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,HDMIx2,DP,音频输出",无,"100-240VAC, 50/60Hz , 1.5A",红色项目预计7月中供数据,"CCC，CH RoHS，CEL，CECP，Win10, EPA, CE, FCC,cTUVus",黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",614.9(W)x444.3(H)x200(D)mm,614.9(W)x364.1(H)x45.5(D)mm,703(W)x468(H)x226(D)mm,5.1kg,4.4kg,7.3kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,I2490VXH,"23.8""W",16:9,IPS技术,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250 cd/m²  ,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),1920x1080,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A",预计7/6左右提供功率数据,CCC，CH RoHS，CEL，CECP，Win10,黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",540.5(W)x412(H)x200(D)mm,540.5(W)x321(H)x46(D)mm,623(W)x486(H)x125(D)mm,3.6kg,3.0kg,5.23kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,E2590VXH,"24.5""W",16:9,TN,0.2832(H)mmx0.2802(V)mm,543.744(H)mmx302.616(V)mm ,250cd/m²,20000000:1,1000:1,2ms GtG,170°/160°(CR≥10),1920x1080,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:23W（典型值）;
待机:<0.5W",CCC，CH RoHS，CEL，CECP，Win10,黑色,VESA 100mm×100mm,"倾斜: -5°-23°
快拆支架
高度调整: 无
左右旋转: 无",557(W)x414(H)x200(D)mm,557(W)x329(H)x43(D)mm,625(W)x410(H)x160(D)mm,4.2kg,3.5kg,5.75kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,49D8P,,,,,,,,,,,1929*1080,,,,,,,,,black 黑色,,,,,,,,,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']","49""",TSUMV59,3.5mm,LED背光,500cd/m2,4000:1,8ms,0.55926mm*0.52926mm,178/178,60000hrs,72%,1073.8(H)mm x604(V)mm,1.07Billion(10bit),100V~240V，50-60Hz,<180W,≤0.5W,0°C~40°C,-10°C~60°C,10%~90% RH Non-Condensing,20%~85% RH Non-Condensing,标准，柔和，用户，亮丽,24小时,*1,*1,*1,*1,*1,*1,*4,*1,*2,*1,*1,RS232-IN x1; RS232-OUT x1 ,21.45Kg±1.5 Kg,31.1Kg±1.5 Kg,1077.58 * 117.67 * 607.8mm,1290*300*800 mm,metal 金属,2.3 / 1.2 / 2.3/ 1.2 mm,"600mm * (20+380+20)mm, 8*M6 screws",英语 / 简中,*1,*1,*1,*1,*1,*1,"支持 8/10bit 双路LVDS(1920*1080)高清显示;
 采用 3-D数字梳状滤波器;真彩色OSD,人性化操作菜单;
 可支持数字音频输出;采用Mstar ACE-5自动彩色及图像增强引擎, 改善图像的对比度、细节、肤色、边缘;
采用可编程 12-bit RGB gamma校正技术;
完善的工厂设置模式; 
一路HDMI 1.3输入接口,HDCP支持到1.2,一路 DVI 输入接口;
支持软件展频技术可降低EMI辐射; 
采用3-D降噪技术;支持高清分辨率的JPEG解码。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,55D8P,,,,,,,,,,,1929*1080,,,,,,,,,black 黑色,,,,,,,,,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']","55""",TSUMV59,3.5mm,LED背光,500cd/m2,4000:1,8ms,0.630(H) mm x 0.630(V) mm,178/178,60000hrs,72%,1209.6(H)mm x680.4(V)mm,1.07Billion(10bit),100V~240V，50-60Hz,<280W ,≤0.5W,0°C~40°C,-10°C~60°C,10%~90% RH Non-Condensing,20%~85% RH Non-Condensing,标准，柔和，用户，亮丽,24小时,*1,*1,*1,*1,*1,*1,*4,*1,*2,*1,*1,RS232-IN x1; RS232-OUT x1,25.3Kg±1.5 Kg,34.8Kg±1.5 Kg,1213.4 * 125.85 * 684.2 mm,1415*300*895 mm,metal 金属,2.3 / 1.2 / 2.3/ 1.2 mm,"600mm * (20+380+20)mm, 8*M6 screws",英语 / 简中,*1,*1,*1,*1,*1,*1,"支持 8/10bit 双路LVDS(1920*1080)高清显示;
采用 3-D数字梳状滤波器;真彩色OSD,人性化操作菜单; 
可支持数字音频输出;采用Mstar ACE-5自动彩色及图像增强引擎, 改善图像的对比度、细节、肤色、边缘;
采用可编程 12-bit RGB gamma校正技术;
完善的工厂设置模式; 
一路HDMI 1.3输入接口,HDCP支持到1.2,一路 DVI 输入接口; 
支持软件展频技术可降低EMI辐射; 
采用3-D降噪技术;支持高清分辨率的JPEG解码。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,E970WN5,"18.5""W",,,0.3(H)x0.3(V)mm,409.8(H)x230.4(V)mm,200 cd/m²  ,,20000000:1（动态）,5ms,90°/65°(CR≥10),1366X768@60Hz,"水平: 30k - 60kHz
垂直: 50 - 76Hz",16.7M,无,D-Sub  15-pin             ,无,"100-240VAC, 50/60Hz, 1.5A","正常工作:15W（典型值）;
待机:<0.5W","CCC, CH RoHS, CEL 1, Win8, CECP",黑色,VESA 100mm×100mm,,437.4(W)x336.8(H)x156(D)mm,,494(W)x359(H)x109(D)mm,,2.15kg,2.8kg,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,E2280SWN,"21.5""W",,,0.2482(H)X0.2482(V)mm,476.64(H)X268.11(V)mm,200 cd/m²  ,,20000000:1（动态）,5ms,90°/65°(CR≥10),1920x1080@60Hz,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,无,D-Sub 15-pin,无,"19Vdc,1.31A","正常工作:20W（典型值）;
待机:<0.5W","CCC，CH RoHS，CEL 1，CECP, Win8",黑色,VESA 100mm×100mm,,509.5(W)x381.1(H)x190(D)mm,,570(W)x395(H)x118(D)mm,,2.51kg,3.57kg,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,E2250SD,"22""W",,,0.282mm(H)x 0.282mm(V),473.76 x296.1 mm,250cd/m2,,20000000:1 (动态）,5ms,170°/160°(CR≥10),1680x 1050  @60Hz,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,有,D-Sub  15-pin & 24-pin DVI-D            ,无,"100-240VAC, 50/60Hz, 1.5A","正常工作:25W（典型值）;
待机:<0.5W","CE,CECP,cCSAus,FCC,EPEAT Silver,CCC,EPA Win7,china RoHs,CSC",黑色,VESA 75mm×75mm,,508.74(W) x 408.48(H) x 190(D),,562(W)x420(H)x109(D)mm,,3.77Kg,4.62Kg,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A2272PWRP/BW,"21.5""W",16:9,IPS技术,0.24825(H)x0.24825(V)mm,476.6(H)x268.11(V)mm,250 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR>10),1920x1080@60Hz,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,有,"• D-Sub×1,HDMI×1
• USB 2.0×4
• Micro USB (支持OTG功能)
• RJ45以太网接口(10/100Mbps) 
• 音频输入
• 音频输出(耳麦接口)
• SD卡插槽",2Wx2,"20Vdc, 3.25A","正常工作:20W（典型值）;
待机:≤0.5W(D-SUB/HDMI); 
≤5W(Android)","CCC，CH RoHS，CEL，CECP，Win10, SRRC",黑色/白色,VESA 75mm×75mm,"倾斜: 15°-57°
垂直旋转: 无
高度调整: 无
左右旋转: 无",521.9(W)x322.5(H)x44.3(D)mm,,587(W)x410(H)x117(D)mm,3.87kg,,5.48kg,"智能一体机
说明书
保修证书
一体机支架
电源线
电源适配器
D-SUB信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,I2490VXH/BS,"23.8""W",16:9,AH-IPS,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250 cd/m²  ,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),1920x1080@60Hz,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:21W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10,银色/黑色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",540.5(W)x412(H)x200(D)mm,540.5(W)x321(H)x46(D)mm,620(W)x420(H)x182(D)mm,3.48kg,2.88kg,4.95kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Q2490PXQ,"23.8""W",16:9,IPS技术,0.2058(H)x0.2058(V)mm,526.85(H)x296.35(V)mm ,250cd/m²,50000000:1,1000:1,5ms GtG,178°/178°(CR>10),"1920x1080@60Hz (D-SUB)
2560x1440@60Hz (HDMI,DP)   ","水平: 
30k - 83kHz (D-SUB)
30k - 99kHz (HDMI,DP)
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,HDMIx2,DP,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:30W（典型值）;
待机:≤0.5W","CCC，CH RoHS，CEL，CECP，Win10, 中国环境标志",黑色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-45°",539(W)x(383~513)(H)x200(D)mm,539(W)x321(H)x43(D)mm,608(W)x405(H)x208(D)mm,4.85kg,3.25kg,6.4kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9E1H,"18.5""W",16:9,TN,0.3(H)x0.3(V)mm,409.8(H)x230.4(V)mm,200 cd/m²,,600:1,5ms,90°/65°(CR>10),1366×768,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:11W（典型值）
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，能源之星，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架
倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",439.6(W)x374.9(H)x199.4(D)mm,439.6(W)x268.1(H)x44.5(D)mm,500(W)x364(H)x139(D)mm,2.1kg,1.7kg,2.98kg,"液晶显示器,
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
